what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337991756780
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1337991756780
java.specification.name,sysinfo,,,"Java Platform API Specification",1337991756780
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337991756780
java.specification.version,sysinfo,,,"1.7",1337991756780
java.vendor,sysinfo,,,"Oracle Corporation",1337991756780
java.version,sysinfo,,,"1.7.0_03",1337991756780
java.vm.info,sysinfo,,,"mixed mode",1337991756780
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337991756780
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337991756780
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337991756780
java.vm.specification.version,sysinfo,,,"1.7",1337991756780
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337991756780
java.vm.version,sysinfo,,,"22.1-b02",1337991756780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337991767961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337991780565
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337991780619
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1337991780740
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1337991780744
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1337991780849
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1337991780850
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1337991780851
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1337991780851
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1337991780851
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1337991780852
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1337991780852
