what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1337659957731
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337659957731
java.specification.version,sysinfo,,,"1.7",1337659957731
java.vendor,sysinfo,,,"Oracle Corporation",1337659957731
java.version,sysinfo,,,"1.7.0_03",1337659957731
java.vm.info,sysinfo,,,"mixed mode",1337659957731
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337659957731
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337659957731
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337659957731
java.vm.specification.version,sysinfo,,,"1.7",1337659957731
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337659957731
java.vm.version,sysinfo,,,"22.1-b02",1337659957731
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1337659958039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337660217115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337663159813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337663160995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337684193069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337684193780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337684196509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337684197433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337684199319
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337684199422
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1337684199822
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1337684199942
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1337684199947
activated,perspective,,,"<Java_EE>",1338602919008
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1338602919010
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1338602919011
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1338602919011
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338602919012
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1338602919012
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1338602919014
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1338602919015
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1338602919015
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1338602919016
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1338602919017
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1338602919019
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1338602919019
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1338602919020
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1338602919021
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1338602919022
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1338602919022
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1338602919024
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1338602919025
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1338602919025
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1338602919026
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1338602919027
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1338602919027
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1338602919028
